,Sample,x,y,w,h
0,Sample_39/frame_0617.png,629,67,5,5
1,Sample_2/frame_0595.png,627,131,5,5
2,Sample_44/frame_0186.png,1011,523,5,5
3,Sample_51/frame_0328.png,885,345,5,5
4,Sample_47/frame_0336.png,862,347,5,5
5,Sample_60/frame_0081.png,1125,617,7,7
6,Sample_44/frame_0318.png,898,381,5,5
7,Sample_16/frame_0565.png,673,137,5,5
8,Sample_43/frame_0282.png,926,381,5,5
9,Sample_26/frame_0623.png,598,97,5,5
10,Sample_2/frame_0194.png,1012,515,5,5
11,Sample_1/frame_0282.png,926,384,5,5
12,Sample_9/frame_0653.png,553,79,5,5
13,Sample_29/frame_0527.png,711,182,3,3
14,Sample_31/frame_0636.png,584,84,5,5
15,Sample_8/frame_0260.png,953,420,5,5
16,Sample_29/frame_0531.png,707,175,3,3
17,Sample_7/frame_0123.png,1103,588,5,5
18,Sample_8/frame_0624.png,601,78,5,5
19,Sample_23/frame_0622.png,622,44,5,5
20,Sample_40/frame_0615.png,592,61,5,5
21,Sample_38/frame_0270.png,939,457,5,5
22,Sample_34/frame_0692.png,504,11,3,4
23,Sample_22/frame_0401.png,787,322,5,5
24,Sample_5/frame_0511.png,646,205,5,5
25,Sample_26/frame_0404.png,801,329,5,5
26,Sample_22/frame_0516.png,677,218,5,5
27,Sample_15/frame_0121.png,1073,574,5,5
28,Sample_4/frame_0646.png,577,86,5,5
29,Sample_60/frame_0075.png,1131,622,7,7
30,Sample_38/frame_0354.png,866,378,5,5
31,Sample_11/frame_0560.png,642,184,5,5
32,Sample_38/frame_0544.png,682,221,5,5
33,Sample_46/frame_0264.png,931,471,5,5
34,Sample_25/frame_0485.png,676,168,6,6
35,Sample_44/frame_0566.png,663,148,5,5
36,Sample_38/frame_0554.png,667,212,5,5
37,Sample_17/frame_0383.png,830,308,5,5
38,Sample_47/frame_0100.png,1097,599,5,5
39,Sample_22/frame_0519.png,674,213,5,5
40,Sample_25/frame_0625.png,547,19,5,5
41,Sample_6/frame_0570.png,633,138,5,5
42,Sample_16/frame_0337.png,908,358,5,5
43,Sample_51/frame_0559.png,643,102,5,5
44,Sample_13/frame_0456.png,703,248,5,5
45,Sample_47/frame_0372.png,815,305,5,5
46,Sample_7/frame_0157.png,1071,550,5,5
47,Sample_46/frame_0489.png,726,218,5,5
48,Sample_30/frame_0093.png,1101,601,3,3
49,Sample_13/frame_0406.png,755,303,5,5
50,Sample_7/frame_0048.png,1163,653,5,5
51,Sample_24/frame_0342.png,874,350,5,5
52,Sample_13/frame_0094.png,1099,607,5,5
53,Sample_40/frame_0451.png,764,229,5,5
54,Sample_41/frame_0499.png,747,232,5,5
55,Sample_42/frame_0313.png,908,380,5,5
56,Sample_51/frame_0069.png,1131,621,5,5
57,Sample_21/frame_0122.png,1084,578,5,5
58,Sample_10/frame_0744.png,437,30,5,5
59,Sample_53/frame_0052.png,1139,646,5,5
60,Sample_33/frame_0316.png,889,382,5,5
61,Sample_54/frame_0505.png,720,178,5,5
62,Sample_41/frame_0140.png,1065,547,5,5
63,Sample_22/frame_0376.png,815,344,5,5
64,Sample_43/frame_0047.png,1151,650,5,5
65,Sample_57/frame_0582.png,637,110,7,7
66,Sample_25/frame_0432.png,726,228,5,5
67,Sample_5/frame_0478.png,682,235,5,5
68,Sample_15/frame_0156.png,1046,535,5,5
69,Sample_12/frame_0471.png,739,306,5,5
70,Sample_25/frame_0178.png,1016,503,5,5
71,Sample_54/frame_0435.png,778,256,5,5
72,Sample_13/frame_0295.png,874,412,5,5
73,Sample_33/frame_0348.png,858,352,5,5
74,Sample_4/frame_0429.png,798,276,5,5
75,Sample_54/frame_0103.png,1106,577,5,5
76,Sample_10/frame_0730.png,455,39,5,5
77,Sample_34/frame_0077.png,1124,618,3,3
78,Sample_7/frame_0398.png,841,293,5,5
79,Sample_39/frame_0073.png,1130,627,5,5
80,Sample_34/frame_0202.png,996,494,3,3
81,Sample_54/frame_0433.png,781,258,5,5
